Year,Month,Gender,LNC_by_Age,Value_Legal_Name_Change
2002,July,M,50-54,2
2002,July,M,55-59,1
2002,July,M,60-64,3
2002,July,M,65-69,0
2002,July,M,70-74,0
2002,July,M,75+,0
2002,July,M,Total,93
2002,July,F,0-4,13
2002,July,F,9-May,10
2002,July,F,14-Oct,9
2002,July,F,15-19,15
2002,July,F,20-24,13
2002,July,F,25-29,10
2002,July,F,30-34,5
2002,July,F,35-39,5
2002,July,F,40-44,3
2002,July,F,45-49,1
2002,July,F,50-54,0
2002,July,F,55-59,1
2002,July,F,60-64,0
2002,July,F,65-69,0
2002,July,F,70-74,1
2002,July,F,75+,0
2002,July,F,Total,86
2002,July,T,0-4,25
2002,July,T,9-May,23
2002,July,T,14-Oct,19
2002,July,T,15-19,27
2002,July,T,20-24,26
2002,July,T,25-29,18
2002,July,T,30-34,15
2002,July,T,35-39,10
2002,July,T,40-44,4
2002,July,T,45-49,4
2002,July,T,50-54,2
2002,July,T,55-59,2
2002,July,T,60-64,3
2002,July,T,65-69,0
2002,July,T,70-74,1
2002,July,T,75+,0
2002,July,T,Total,179
2002,August,M,0-4,9
2002,August,M,9-May,21
2002,August,M,14-Oct,14
2002,August,M,15-19,17
2002,August,M,20-24,12
2002,August,M,25-29,13
2002,August,M,30-34,10
2002,August,M,35-39,9
2002,August,M,40-44,6
2002,August,M,45-49,2
2002,August,M,50-54,3
2002,August,M,55-59,2
2002,August,M,60-64,3
2002,August,M,65-69,0
2002,August,M,70-74,0
2002,August,M,75+,0
2002,August,M,Total,121
2002,August,F,0-4,24
2002,August,F,9-May,17
2002,August,F,14-Oct,8
2002,August,F,15-19,18
2002,August,F,20-24,7
2002,August,F,25-29,9
